"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","298","test_invalid_login_scenarios[locked_out_user-secret_sauce-locked out]","tests.web","2026-09-25","passed","2026-09-25","TestLogin","test_login_scenarios","",""
"","290","test_invalid_login_scenarios[standard_user-wrong_password-Username and password do not match]","tests.web","2026-09-25","passed","2026-09-25","TestLogin","test_login_scenarios","",""
"","26","test_create_booking","tests.api","2026-09-25","passed","2026-09-25","TestBookingAPI","test_booking_api","",""
"","25","test_get_booking_details","tests.api","2026-09-25","passed","2026-09-25","TestBookingAPI","test_booking_api","",""
"","262","test_invalid_login_scenarios[-secret_sauce-Username is required]","tests.web","2026-09-25","passed","2026-09-25","TestLogin","test_login_scenarios","",""
"","257","test_invalid_login_scenarios[standard_user--Password is required]","tests.web","2026-09-25","passed","2026-09-25","TestLogin","test_login_scenarios","",""
"","1043","test_successful_login","tests.web","2026-09-25","passed","2026-09-25","TestLogin","test_login_scenarios","",""
"","319","test_invalid_login_scenarios[invalid_user-secret_sauce-Username and password do not match]","tests.web","2026-09-25","passed","2026-09-25","TestLogin","test_login_scenarios","",""
"","21","test_health_check","tests.api","2026-09-25","passed","2026-09-25","TestBookingAPI","test_booking_api","",""
"","22","test_update_booking","tests.api","2026-09-25","passed","2026-09-25","TestBookingAPI","test_booking_api","",""
"","43","test_delete_created_booking","tests.api","2026-09-25","passed","2026-09-25","TestBookingAPI","test_booking_api","",""
